linha,id_onibus,timestamp,lat,lon,is_eletrico
6451-10,71696,2025-08-28T15:25:33Z,-23.654501,-46.76131049999999,True
6451-10,71135,2025-08-28T15:25:38Z,-23.577015000000003,-46.672109500000005,True
6451-10,71685,2025-08-28T15:25:03Z,-23.6546575,-46.761719,True
6451-10,71161,2025-08-28T15:25:27Z,-23.65141,-46.757695999999996,True
6451-10,71730,2025-08-28T15:25:39Z,-23.55936225,-46.654441,True
6451-10,71179,2025-08-28T15:25:40Z,-23.549066000000003,-46.6409855,True
6451-10,71230,2025-08-28T15:25:25Z,-23.6542305,-46.7623055,False
6451-10,71245,2025-08-28T15:25:39Z,-23.65141,-46.757695999999996,False
6451-10,71273,2025-08-28T15:25:30Z,-23.639574500000002,-46.725648250000006,True
6451-10,71738,2025-08-28T15:25:12Z,-23.654408500000002,-46.762060999999996,False
6451-10,71727,2025-08-28T15:25:33Z,-23.58222225,-46.685465875,False
6451-10,71187,2025-08-28T15:25:19Z,-23.654660999999997,-46.7609705,True
6451-10,71177,2025-08-28T15:22:41Z,-23.6545125,-46.761236499999995,True
3112-10,55179,2025-08-28T15:25:35Z,-23.565325,-46.5952585,False
3112-10,55545,2025-08-28T15:25:34Z,-23.584794000000002,-46.546420499999996,False
3112-10,55227,2025-08-28T15:24:54Z,-23.5780545,-46.5776,False
3112-10,55244,2025-08-28T15:25:30Z,-23.5997165,-46.537619,False
3112-10,55403,2025-08-28T15:25:05Z,-23.601495,-46.5332695,True
3112-10,55127,2025-08-28T15:25:08Z,-23.58173075,-46.58667925,False
3112-10,55081,2025-08-28T15:25:15Z,-23.541799374999997,-46.592442000000005,True
3112-10,55026,2025-08-28T15:25:21Z,-23.610093499999998,-46.5294835,True
6073-10,66292,2025-08-28T15:25:01Z,-23.852940500000003,-46.695395000000005,False
6073-10,66977,2025-08-28T15:25:40Z,-23.853313,-46.6956225,False
6073-10,66716,2025-08-28T15:25:43Z,-23.7727445,-46.720183,False
6073-10,66500,2025-08-28T15:25:00Z,-23.852940500000003,-46.695395000000005,True
6073-10,66244,2025-08-28T15:25:05Z,-23.8279545,-46.730826,True
6073-10,66587,2025-08-28T15:25:09Z,-23.852573,-46.695243000000005,True
6073-10,66289,2025-08-28T15:25:09Z,-23.852940500000003,-46.695395000000005,False
675K-10,73910,2025-08-28T15:25:12Z,-23.63323025,-46.690116,False
675K-10,73920,2025-08-28T15:25:41Z,-23.689947,-46.7740025,False
675K-10,73913,2025-08-28T15:25:00Z,-23.597293999999998,-46.6554255,False
675K-10,73863,2025-08-28T15:25:26Z,-23.6675885,-46.730721,False
675K-10,73893,2025-08-28T15:25:08Z,-23.675409000000002,-46.75553275,True
675K-10,73820,2025-08-28T15:25:14Z,-23.653125,-46.70848074999999,False
675K-10,73872,2025-08-28T15:25:16Z,-23.689947,-46.7740025,True
675K-10,73854,2025-08-28T15:25:21Z,-23.690684,-46.774680000000004,True
3736-10,47170,2025-08-28T15:25:06Z,-23.558874125000003,-46.474936375,True
3736-10,47017,2025-08-28T15:25:07Z,-23.577151875000002,-46.483989625,True
3736-10,47701,2025-08-28T15:25:24Z,-23.575533,-46.4834125,True
3736-10,47269,2025-08-28T15:25:19Z,-23.5495205,-46.483318,False
3736-10,47018,2025-08-28T15:25:17Z,-23.5610385,-46.47443675,False
3736-10,47282,2025-08-28T15:25:34Z,-23.5508795,-46.48185025,False
3736-10,47745,2025-08-28T15:25:09Z,-23.575533,-46.4834125,True
3736-10,47550,2025-08-28T15:25:42Z,-23.54700725,-46.483463,True
8594-10,11831,2025-08-28T15:25:40Z,-23.51456175,-46.70076,True
8594-10,11826,2025-08-28T15:25:35Z,-23.5361333125,-46.65154225,False
8594-10,11454,2025-08-28T15:25:33Z,-23.454593,-46.7421475,True
8594-10,11451,2025-08-28T15:25:08Z,-23.534230875000002,-46.654912749999994,False
8594-10,11822,2025-08-28T15:24:59Z,-23.547847500000003,-46.6420095,True
8594-10,11453,2025-08-28T15:25:15Z,-23.449564000000002,-46.72140675,True
8594-10,11830,2025-08-28T15:25:31Z,-23.487247,-46.714679000000004,False
8594-10,11827,2025-08-28T15:25:25Z,-23.523611125000002,-46.702995625,True
9501-10,11094,2025-08-28T15:25:39Z,-23.541894,-46.638326750000004,True
9501-10,11107,2025-08-28T15:25:41Z,-23.507077375,-46.689163875000006,False
9501-10,11100,2025-08-28T15:25:29Z,-23.522741874999998,-46.658436625,True
9501-10,11105,2025-08-28T15:25:16Z,-23.47494,-46.67014399999999,True
9501-10,11045,2025-08-28T15:25:03Z,-23.481600999999998,-46.674812,True
9501-10,11099,2025-08-28T15:25:01Z,-23.5173575,-46.6815965,False
2770-10,31015,2025-08-28T15:25:29Z,-23.5396095,-46.431369000000004,False
2770-10,31620,2025-08-28T15:25:40Z,-23.531409,-46.529441,False
2770-10,31667,2025-08-28T15:25:23Z,-23.507301,-46.4844605,False
2770-10,31657,2025-08-28T15:25:05Z,-23.5271485,-46.417964,False
3737-10,45438,2025-08-28T15:25:37Z,-23.56016175,-46.5063945,False
3737-10,45514,2025-08-28T15:25:38Z,-23.539118875,-46.51576250000001,True
3737-10,45552,2025-08-28T15:25:05Z,-23.5307095,-46.517677,True
3737-10,45641,2025-08-28T15:24:59Z,-23.56468325,-46.50561075,True
3737-10,45700,2025-08-28T15:25:02Z,-23.5515555,-46.5016635,False
3737-10,45565,2025-08-28T15:25:22Z,-23.564532999999997,-46.5048475,False
3737-10,45439,2025-08-28T15:25:04Z,-23.5637485,-46.508797,True
3737-10,45546,2025-08-28T15:25:18Z,-23.545812124999998,-46.509095875,True
3737-10,45578,2025-08-28T15:25:37Z,-23.550199,-46.5083845,False
7545-10,81596,2025-08-28T15:25:19Z,-23.6016895,-46.791908,False
7545-10,81592,2025-08-28T15:25:37Z,-23.6016895,-46.791908,False
7545-10,81251,2025-08-28T15:25:37Z,-23.599347,-46.791118,False
7545-10,81246,2025-08-28T15:25:40Z,-23.6019505,-46.7921015,False
7545-10,81265,2025-08-28T15:25:23Z,-23.5428055,-46.63945699999999,False
7545-10,81428,2025-08-28T15:25:02Z,-23.6014325,-46.7918495,False
